model,layer_name,layer_key,shape,numel,official_threshold_2048_backend,valid_full_cuda_backend,fallback_reason_official,guard_status,dtype_ok,contiguous_ok,shape_supported,state_owner_stable,q8_supported,rel_l2_contribution,payload_bytes,estimated_time_ms
resnet50,layer2.2.bn2.weight,layer2.2.bn2.weight|torch.float32|128,128,128,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000002564,128,0.043059
resnet50,layer2.2.bn2.bias,layer2.2.bn2.bias|torch.float32|128,128,128,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000002602,128,0.043059
resnet50,layer2.2.conv3.weight,layer2.2.conv3.weight|torch.float32|512x128x1x1,512x128x1x1,65536,cuda,cuda,,pass,True,True,True,True,True,0.001015478,65536,0.031249
resnet50,layer2.2.bn3.weight,layer2.2.bn3.weight|torch.float32|512,512,512,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000005882,512,0.172236
resnet50,layer2.2.bn3.bias,layer2.2.bn3.bias|torch.float32|512,512,512,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000006090,512,0.172236
resnet50,layer2.3.conv1.weight,layer2.3.conv1.weight|torch.float32|128x512x1x1,128x512x1x1,65536,cuda,cuda,,pass,True,True,True,True,True,0.000978853,65536,0.031249
resnet50,layer2.3.bn1.weight,layer2.3.bn1.weight|torch.float32|128,128,128,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000002179,128,0.043059
resnet50,layer2.3.bn1.bias,layer2.3.bn1.bias|torch.float32|128,128,128,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000002773,128,0.043059
resnet50,layer2.3.conv2.weight,layer2.3.conv2.weight|torch.float32|128x128x3x3,128x128x3x3,147456,cuda,cuda,,pass,True,True,True,True,True,0.001428925,147456,0.070309
resnet50,layer2.3.bn2.weight,layer2.3.bn2.weight|torch.float32|128,128,128,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000002677,128,0.043059
resnet50,layer2.3.bn2.bias,layer2.3.bn2.bias|torch.float32|128,128,128,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000001815,128,0.043059
resnet50,layer2.3.conv3.weight,layer2.3.conv3.weight|torch.float32|512x128x1x1,512x128x1x1,65536,cuda,cuda,,pass,True,True,True,True,True,0.000902662,65536,0.031249
resnet50,layer2.3.bn3.weight,layer2.3.bn3.weight|torch.float32|512,512,512,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000006122,512,0.172236
resnet50,layer2.3.bn3.bias,layer2.3.bn3.bias|torch.float32|512,512,512,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000005402,512,0.172236
resnet50,layer3.0.conv1.weight,layer3.0.conv1.weight|torch.float32|256x512x1x1,256x512x1x1,131072,cuda,cuda,,pass,True,True,True,True,True,0.001335143,131072,0.062497
resnet50,layer3.0.bn1.weight,layer3.0.bn1.weight|torch.float32|256,256,256,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000003770,256,0.086118
resnet50,layer3.0.bn1.bias,layer3.0.bn1.bias|torch.float32|256,256,256,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000003679,256,0.086118
resnet50,layer3.0.conv2.weight,layer3.0.conv2.weight|torch.float32|256x256x3x3,256x256x3x3,589824,cuda,cuda,,pass,True,True,True,True,True,0.003100131,589824,0.281237
resnet50,layer3.0.bn2.weight,layer3.0.bn2.weight|torch.float32|256,256,256,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000003323,256,0.086118
resnet50,layer3.0.bn2.bias,layer3.0.bn2.bias|torch.float32|256,256,256,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000003873,256,0.086118
resnet50,layer3.0.conv3.weight,layer3.0.conv3.weight|torch.float32|1024x256x1x1,1024x256x1x1,262144,cuda,cuda,,pass,True,True,True,True,True,0.001933838,262144,0.124994
resnet50,layer3.0.bn3.weight,layer3.0.bn3.weight|torch.float32|1024,1024,1024,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000009121,1024,0.344471
resnet50,layer3.0.bn3.bias,layer3.0.bn3.bias|torch.float32|1024,1024,1024,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000012837,1024,0.344471
resnet50,layer3.0.shortcut.0.weight,layer3.0.shortcut.0.weight|torch.float32|1024x512x1x1,1024x512x1x1,524288,cuda,cuda,,pass,True,True,True,True,True,0.002876765,524288,0.249989
resnet50,layer3.0.shortcut.1.weight,layer3.0.shortcut.1.weight|torch.float32|1024,1024,1024,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000086334,1024,0.344471
resnet50,layer3.0.shortcut.1.bias,layer3.0.shortcut.1.bias|torch.float32|1024,1024,1024,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000098892,1024,0.344471
resnet50,layer3.1.conv1.weight,layer3.1.conv1.weight|torch.float32|256x1024x1x1,256x1024x1x1,262144,cuda,cuda,,pass,True,True,True,True,True,0.002053760,262144,0.124994
resnet50,layer3.1.bn1.weight,layer3.1.bn1.weight|torch.float32|256,256,256,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000003714,256,0.086118
resnet50,layer3.1.bn1.bias,layer3.1.bn1.bias|torch.float32|256,256,256,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000003406,256,0.086118
