model,threshold,round_index,round_type,codec_mode,layer_name,shape,numel,backend,cpu_payload_bytes,cuda_v0_payload_bytes,cuda_payload_bytes,payload_growth_factor,lost_compression_bytes,full_residual_bytes,compact_intermediate_d2h_bytes,compact_vs_full_residual_pct,cuda_kernel_ms,cuda_payload_d2h_ms,cpu_payload_assembly_ms,cpu_reconstruct_input_ms,cpu_encoder_ms,cuda_state_commit_ms,cpu_fallback_ms,decode_status,codec_failure_reason,state_committed
resnet18,262144,0,round0,raw_v0,layer3.0.shortcut.0.weight,256x128x1x1,32768,cpu,38942,38942,38942,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0997021347284317,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer3.0.shortcut.1.weight,256,256,cpu,1009,1009,1009,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39691757410764694,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer3.0.shortcut.1.bias,256,256,cpu,1005,1005,1005,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16084220260381699,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer3.0.shortcut.1.running_mean,256,256,cpu,1006,1006,1006,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1387493684887886,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer3.0.shortcut.1.running_var,256,256,cpu,1013,1013,1013,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13902410864830017,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer3.1.conv1.weight,256x256x3x3,589824,cuda,612369,2359296,2359296,3.852735850443115,1746927,2359296,2359296,100.0,0.0,1.0564792901277542,0.0,0.0,0.0,0.07448811084032059,0.0,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer3.1.bn1.weight,256,256,cpu,1007,1007,1007,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16410648822784424,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer3.1.bn1.bias,256,256,cpu,1004,1004,1004,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13495143502950668,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer3.1.bn1.running_mean,256,256,cpu,1003,1003,1003,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13678986579179764,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer3.1.bn1.running_var,256,256,cpu,1009,1009,1009,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1306375488638878,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer3.1.conv2.weight,256x256x3x3,589824,cuda,607722,2359296,2359296,3.882196135733115,1751574,2359296,2359296,100.0,0.0,1.261756755411625,0.0,0.0,0.0,0.0776415690779686,0.0,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer3.1.bn2.weight,256,256,cpu,1012,1012,1012,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16291998326778412,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer3.1.bn2.bias,256,256,cpu,1009,1009,1009,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1437002792954445,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer3.1.bn2.running_mean,256,256,cpu,1002,1002,1002,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1382501795887947,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer3.1.bn2.running_var,256,256,cpu,1009,1009,1009,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13781897723674774,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer4.0.conv1.weight,512x256x3x3,1179648,cuda,1216629,4718592,4718592,3.8784148659944813,3501963,4718592,4718592,100.0,0.0,1.9737696275115013,0.0,0.0,0.0,0.07588788866996765,0.0,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer4.0.bn1.weight,512,512,cpu,1948,1948,1948,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16132183372974396,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer4.0.bn1.bias,512,512,cpu,1939,1939,1939,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1720823347568512,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer4.0.bn1.running_mean,512,512,cpu,1937,1937,1937,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23269932717084885,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer4.0.bn1.running_var,512,512,cpu,1945,1945,1945,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15264656394720078,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer4.0.conv2.weight,512x512x3x3,2359296,cuda,2411172,9437184,9437184,3.9139406064768503,7026012,9437184,9437184,100.0,0.0,3.510870970785618,0.0,0.0,0.0,0.07519405335187912,0.0,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer4.0.bn2.weight,512,512,cpu,1941,1941,1941,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16083475202322006,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer4.0.bn2.bias,512,512,cpu,1937,1937,1937,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14542974531650543,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer4.0.bn2.running_mean,512,512,cpu,1938,1938,1938,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1455126330256462,not_checked,,1
