model,threshold,repeat_index,payload_bytes,python_wrapper_dumps_ms,cpp_envelope_pack_ms,python_wrapper_loads_ms,cpp_envelope_parse_ms,object_rebuild_ms,tensor_materialization_ms,notes
resnet50,65536,59,24013187,9.624073,0.000000,10.067162,0.000000,10.043053,10.043053,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,60,24013187,9.822998,0.000000,9.708499,0.000000,9.686782,9.686782,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,61,24013187,9.972169,0.000000,9.805605,0.000000,9.782583,9.782583,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,62,24013187,9.629733,0.000000,9.994430,0.000000,9.973135,9.973135,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,63,24013187,9.747468,0.000000,9.623596,0.000000,9.599627,9.599627,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,64,24013187,9.934480,0.000000,9.840313,0.000000,9.819642,9.819642,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,65,24013187,9.631087,0.000000,10.000184,0.000000,9.974781,9.974781,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,66,24013187,9.699185,0.000000,9.659708,0.000000,9.639569,9.639569,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,67,24013187,9.937938,0.000000,9.774216,0.000000,9.751463,9.751463,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,68,24013187,9.623559,0.000000,10.023731,0.000000,10.001726,10.001726,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,69,24013187,9.712428,0.000000,9.727803,0.000000,9.704736,9.704736,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,70,24013187,10.019422,0.000000,9.848011,0.000000,9.826933,9.826933,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,71,24013187,9.655138,0.000000,10.058080,0.000000,10.034353,10.034353,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,72,24013187,9.773389,0.000000,9.747117,0.000000,9.725756,9.725756,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
