model,round_index,round_type,threshold,quant_mode,layer_name,layer_key,backend,step,shape,numel,payload_length,quant_bits_layer,quant_mode_layer,fallback_reason
resnet50,1,hot,524288,outlier_q6_q8,layer1.2.bn2.running_mean,layer1.2.bn2.running_mean|torch.float32|64,cpu_batch,,64,64,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer1.2.bn2.running_var,layer1.2.bn2.running_var|torch.float32|64,cpu_batch,,64,64,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer1.2.bn3.running_mean,layer1.2.bn3.running_mean|torch.float32|256,cpu_batch,,256,256,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer1.2.bn3.running_var,layer1.2.bn3.running_var|torch.float32|256,cpu_batch,,256,256,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer2.0.bn1.running_mean,layer2.0.bn1.running_mean|torch.float32|128,cpu_batch,,128,128,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer2.0.bn1.running_var,layer2.0.bn1.running_var|torch.float32|128,cpu_batch,,128,128,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer2.0.bn2.running_mean,layer2.0.bn2.running_mean|torch.float32|128,cpu_batch,,128,128,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer2.0.bn2.running_var,layer2.0.bn2.running_var|torch.float32|128,cpu_batch,,128,128,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer2.0.bn3.running_mean,layer2.0.bn3.running_mean|torch.float32|512,cpu_batch,,512,512,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer2.0.bn3.running_var,layer2.0.bn3.running_var|torch.float32|512,cpu_batch,,512,512,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer2.0.shortcut.1.running_mean,layer2.0.shortcut.1.running_mean|torch.float32|512,cpu_batch,,512,512,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer2.0.shortcut.1.running_var,layer2.0.shortcut.1.running_var|torch.float32|512,cpu_batch,,512,512,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer2.1.bn1.running_mean,layer2.1.bn1.running_mean|torch.float32|128,cpu_batch,,128,128,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer2.1.bn1.running_var,layer2.1.bn1.running_var|torch.float32|128,cpu_batch,,128,128,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer2.1.bn2.running_mean,layer2.1.bn2.running_mean|torch.float32|128,cpu_batch,,128,128,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer2.1.bn2.running_var,layer2.1.bn2.running_var|torch.float32|128,cpu_batch,,128,128,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer2.1.bn3.running_mean,layer2.1.bn3.running_mean|torch.float32|512,cpu_batch,,512,512,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer2.1.bn3.running_var,layer2.1.bn3.running_var|torch.float32|512,cpu_batch,,512,512,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer2.2.bn1.running_mean,layer2.2.bn1.running_mean|torch.float32|128,cpu_batch,,128,128,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer2.2.bn1.running_var,layer2.2.bn1.running_var|torch.float32|128,cpu_batch,,128,128,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer2.2.bn2.running_mean,layer2.2.bn2.running_mean|torch.float32|128,cpu_batch,,128,128,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer2.2.bn2.running_var,layer2.2.bn2.running_var|torch.float32|128,cpu_batch,,128,128,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer2.2.bn3.running_mean,layer2.2.bn3.running_mean|torch.float32|512,cpu_batch,,512,512,0,,,below_cuda_min_numel_or_gate
